Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
service_city,sfu,0.51852554,0.40361473,11.640033,0.12060337,4
service_city,she,-0.25803858,0.23739944,-4.9814954,0.12060337,4
service_city,slc,0.3699725,0.3684251,8.12107,0.12060337,4
service_city,slu,0.5414255,0.40913892,12.1924515,0.12060337,4
service_city,stl,-0.3330113,0.2240945,-6.3119903,0.12060337,4
service_city,unknown,0.60573167,0.42477053,13.755613,0.12060337,4
service_city,vah,0.7070849,0.449704,16.248959,0.12060337,4
threewaycalls,"(-0.001, 0.3]",0.006494933,0.28854588,0.13314784,0.013545231,40
threewaycalls,"(0.3, 0.7]",-0.0086325,0.28545037,-0.17640293,0.013545231,40
threewaycalls,"(0.7, 66.0]",-0.06978459,0.2731426,-1.4071792,0.013545231,40
customer_support_interaction,"(-0.001, 0.3]",0.0027414595,0.28777596,0.056156516,0.012920418,41
customer_support_interaction,"(0.3, 1.0]",-0.007875003,0.2856049,-0.16095042,0.012920418,41
customer_support_interaction,"(1.0, 2.3]",-0.011127624,0.28494173,-0.22726655,0.012920418,41
customer_support_interaction,"(2.3, 5.7]",0.009614545,0.28918672,0.19723177,0.012920418,41
customer_support_interaction,"(5.7, 327.3]",0.022494473,0.29184148,0.46270788,0.012920418,41
directorassistedcalls,"(-0.001, 0.25]",0.0063876305,0.28852388,0.13094842,0.012386797,42
directorassistedcalls,"(0.25, 0.74]",-0.0005814298,0.2870954,-0.011900067,0.012386797,42
directorassistedcalls,"(0.74, 1.24]",-0.013052362,0.28454974,-0.26646554,0.012386797,42
directorassistedcalls,"(1.24, 2.48]",-0.008783875,0.28541952,-0.17948747,0.012386797,42
directorassistedcalls,"(2.48, 159.39]",-0.048983086,0.27729186,-0.9922534,0.012386797,42
buysviamailorder,no,0.0075991857,0.2887726,0.15582144,0.010978823,43
buysviamailorder,yes,-0.014114138,0.28433362,-0.2880782,0.010978823,43
occupation,clerical,0.04987917,0.29753315,1.0318756,0.010367644,44
occupation,crafts,0.016255796,0.29055378,0.333938,0.010367644,44
occupation,homemaker,0.076158844,0.30305484,1.5840441,0.010367644,44
occupation,other,-0.0037422294,0.2864489,-0.076550245,0.010367644,44
occupation,professional,0.007003805,0.28865033,0.14359355,0.010367644,44
occupation,retired,-0.0069184015,0.28580013,-0.14142692,0.010367644,44
occupation,self,0.0026281145,0.28775275,0.053834915,0.010367644,44
occupation,student,0.005091693,0.2882579,0.10434985,0.010367644,44
retentioncalls,"(-0.001, 4.0]",-0.0007586701,0.28705913,-0.01552701,0.0076672165,45
ownscomputer,no,-0.004122493,0.28637117,-0.08432269,0.0069621354,46
ownscomputer,yes,0.01854066,0.291025,0.38106143,0.0069621354,46
handsetmodels,"(-0.001, 1.0]",0.0007981596,0.28737783,0.016343594,0.004081035,47
handsetmodels,"(1.0, 2.0]",-0.0023116944,0.28674138,-0.047302246,0.004081035,47
